,Depot,"Spjelkavik, 6010 Ålesund",APOTEKERGATA 5,"Parkgata 2, 6003 Ålesund",Alnes Fyr og opplevelsessenter,Anno,Atlanterhavsparken,"Tennfjord, 6264 Tennfjord","Ålesund, 6002 Ålesund",Blindheim omsorgssenter,"Valderøy, 6050 Valderøya",Brooklyn - 24 / 26,Bunnpris Brattvåg,Bunnpris Bryggja,Bunnpris Eid,Bunnpris Hareid,Bunnpris Nørve,Bunnpris Oldeide,Bunnpris Sjøholt,Bunnpris Stryn,NEDRE STRANDGATE 9,Bunnpris Ulsteinvik,Bunnpris Valderøy,Bunnpris Valldal,Bunnpris Vatne,Bunnpris Vedde,Bunnpris Volda,Bunnpris Ørsta,"Digernessundet, 6057 Ellingsøy","Eidsgata 12, 6770 Nordfjordeid","Volda, 6100 Volda","Dregesvegen 2, 6200 Stranda","Ålesund, 6008 Ålesund",Ebbegarden barnehage,"Eidet, 6008 Ålesund",Ellingsøy barnehage,Gamle Blindheimsveg 25,Eurospar Hareid,LARSGÅRDSVEGEN 19,Eurospar Moa,Eurospar Sykkylven,Eurospar Valderøy,Eurospar Ørsta,Rasmus Rønnebergs gate 21,"Brattvåg, 6270 Brattvåg","Grodås, 6698 Hornindal",Felleskjøpet Stryn,Felleskjøpet Ålesund,"Nordfjordeid, 6770 Nordfjordeid","Nordfjordeid, 6770 Nordfjordeid","Valderhaug, 6050 Valderøya","Hatlahaugen, Ålesund","Gate 1, 6718 Deknepollen","Hellesylt, 6218 Hellesylt",Helsehuset Stella Maris,"Sjukehusveien 14, 6770 Nordfjordeid",Isehaug kafeteria,"Haramsøya, 6270 Brattvåg",Godøya post i butikk,Joker Hjelledalen,Joker Stordal,Joker Tomrefjord,Joker Vatne,Vigra post i butikk,"Ulsteinvik, 6065 Ulsteinvik",Kiwi Meieribygget Ørsta,SUNDGATA 8,Kiwi Skodje,Kiwi Volda,Kiwi Sykkylven,SKARBØVIKGATA 25,NØRVEGATA 23,SPJELKAVIKVEGEN 42,"Eggesbønes, 6008 Ålesund",Kiwi Deknepollen,NEDRE KLOKKERSUNDVEGEN 2,FLISNESVEGEN 1,"Fiskarstrand, 6037 Eidsnes",Kiwi Stranda,Kiwi Stryn,Kiwi Ulsteinvik,RASMUS RØNNEBERGS GATE 6,Kiwi Myrvåg,Kiwi Langevåg,NEDRE STRANDGATE 51,LERSTADVEGEN 545,Kiwi Vestnes,Kiwi Nordfjordeid,SMEDGARDEN 1,"Vallekrysset, 6013 Ålesund","Ørsta, 6150 Ørsta",Matstova,Meny Fosnavåg,LERSTADVEGEN 291,"Sula, 6030 Langevåg",minibakeriet,"Måløy, 6700 Måløy","Valldal, 6210 Valldal","Måløy, 6700 Måløy",Naustet Grill,"Innviksvegen, 6793 Innvik","Skateflukaia, 6002 Ålesund",Nordfjord hotell,Nørve barnehage,Obs Bygg Digernes,"Oldeide, 6718 Deknepollen",Quality Hotel Ulstein,KONGENS GATE 6,"Remmemsvik, 6264 Tennfjord","Langelandsvegen 47, 6010 Ålesund","Storgata 16, 6002 Ålesund",Sjøbua,"Sjøholt, 6240 Sjøholt",Sjøkanten Café,Skodje barnehage,"Stranda, 6200 Stranda",SOLAVÅGSEIDET 76,Spar Ellingsøy,Spar Fosnavåg,Spar Hornindal,Spar Hovdebygda,Spar Langevåg,Spjelkavikvegen 61,Spar Svingen,Spar Søvik,Spar Tresfjord,Spar Ulsteinvik,Spar Valldal,Spar Vartdal,Spar Volda,Øvre Geilegrend 1,"Keiser Wilhelms gate 29, 6003 Ålesund",Spjelkavik omsorgssenter,"Ålesund lufthavn, 6040 Vigra",St1 Ulsteinvik,St1 Vestnes,St1 Ørskog,Stette barnehage,"Strandafjellet, 6200 Stranda","Stryn, 6783 Stryn","Vigra, 6040 Vigra",Sylteormen bakeri og kafe,Mai Thai Massage,Trankokeriet Antikk,"Longva, 6264 Tennfjord","Vestnes, 6390 Vestnes","Ålesund, 6002 Ålesund",St1 Valldal,Valldal sjukeheim,Valle barnehage,Vartdal helsetun,Vigra barnehage,"Vigra, 6040 Vigra",Volda Campus SpareBank 1 Arena,"Ålesund, 6003 Ålesund",Åse helsehus
"Valderøy, 6050 Valderøya",1582.1,1107.7,296.1,324.6,1772.8,291.7,216.1,2573.8,295.7,1412.2,0.0,351.0,3167.1,10833.3,9338.7,3604.0,533.3,12287.9,2813.5,9137.6,293.4,4326.5,1136.9,5623.1,2366.0,2118.7,5774.3,5163.3,1928.5,9236.9,5908.5,5083.0,510.8,1653.1,563.3,800.4,1375.4,3593.9,671.8,1141.2,2896.7,1327.5,5116.4,357.5,3156.6,6855.8,9177.7,1113.9,9308.8,9259.8,1342.7,544.0,12164.1,6387.9,4289.0,9279.8,9176.2,4245.0,1388.2,10386.2,4054.3,4204.0,2556.8,1624.5,4348.0,5084.9,389.2,2314.3,5933.8,2931.9,129.2,554.6,1189.6,747.4,11935.9,710.5,1491.9,2128.5,5031.2,9135.6,4325.8,307.8,4869.1,2284.2,235.7,1136.2,4278.0,9231.8,881.9,1102.1,5091.8,10362.6,6142.1,841.1,2339.7,9298.4,12169.3,5651.0,12175.4,5782.4,12691.8,270.2,9244.4,670.6,1919.2,12562.1,4396.5,368.5,5226.8,1104.3,380.7,315.0,2578.3,9345.8,2234.2,5033.6,1503.6,1402.9,5979.9,7809.2,5370.8,2345.4,1181.5,4887.6,3460.6,4564.7,4261.0,5655.3,3855.8,5873.1,961.5,301.2,1118.7,1338.8,4416.2,4290.8,2798.2,2063.2,5069.3,9155.1,1521.2,5654.2,309.3,330.2,5199.0,4387.3,341.7,5647.2,5685.3,2131.2,3613.0,1565.4,1593.9,5874.0,431.2,937.6
Brooklyn - 24 / 26,1266.4,792.0,98.3,126.8,1457.1,88.0,472.8,2258.1,114.9,1096.5,373.1,0.0,2851.4,10517.6,9023.0,3288.3,217.6,11972.2,2497.8,8821.9,94.7,4010.8,821.2,5307.4,2050.3,1803.0,5458.6,4847.6,1612.8,8921.2,5592.8,4767.3,195.1,1337.4,247.6,484.7,1059.7,3278.2,356.1,825.5,2581.0,1011.8,4800.7,59.9,2840.9,6540.1,8862.0,798.2,8993.1,8944.1,1027.0,228.3,11848.4,6072.2,3973.3,8964.1,8860.5,3929.3,1072.5,10070.5,3738.6,3888.3,2241.1,1308.8,4032.3,4769.2,52.7,1998.6,5618.1,2616.2,318.7,238.9,873.9,431.7,11620.2,394.8,1176.2,1812.8,4715.5,8819.9,4010.1,65.7,4553.4,1968.5,137.2,820.5,3962.3,8916.1,566.2,786.4,4776.1,10046.9,5826.4,525.4,2024.0,8982.7,11853.6,5335.3,11859.7,5466.7,12376.1,212.2,8928.7,354.9,1603.5,12246.4,4080.8,49.8,4911.1,788.6,62.0,117.2,2262.6,9030.1,1918.5,4717.9,1187.9,1087.2,5664.2,7493.5,5055.1,2029.7,865.8,4571.9,3144.9,4249.0,3945.3,5339.6,3540.1,5557.4,645.8,120.4,803.0,1023.1,4100.5,3975.1,2482.5,1747.5,4753.6,8839.4,1205.5,5338.5,111.5,132.4,4883.3,4071.6,66.3,5331.5,5369.6,1815.5,3297.3,1249.7,1278.2,5558.3,115.5,621.9
Bunnpris Brattvåg,2628.1,2263.3,2877.9,2906.4,3640.8,2867.6,3252.4,1090.1,2894.5,2458.2,3152.7,2823.0,0.0,11879.3,10384.7,4650.0,2708.3,13333.9,2278.6,10023.9,2874.3,5372.5,3004.9,5088.2,882.3,3164.7,6820.3,6209.3,1403.6,10282.9,6954.5,5640.4,2703.0,2537.8,2774.4,2540.9,2421.4,4639.9,2630.4,2199.3,3454.1,3195.5,6162.4,2861.3,19.4,7901.8,10064.0,2204.6,10354.8,10305.8,3210.7,2755.1,13210.1,6945.3,3517.8,10325.8,10062.5,1372.5,3256.2,9851.3,3519.4,2720.3,1073.1,3492.5,5394.0,6130.9,2775.9,1541.7,6979.8,3489.3,3098.3,2729.6,2198.1,2706.0,12981.9,2667.1,2537.9,3174.5,5588.6,10021.9,5371.8,2860.8,5915.1,3330.2,2916.8,2105.2,3506.8,10277.8,2660.9,2148.1,6137.8,10363.7,7188.1,2454.7,3385.7,10344.4,13215.3,5116.1,13221.4,6828.4,13578.1,2991.8,10290.4,2697.7,1394.3,13608.1,5442.5,2851.2,2354.3,2247.8,2863.4,2896.8,2043.4,10391.8,1461.6,5591.0,2549.6,1814.4,7025.9,8695.5,6416.8,3391.4,2199.4,5445.0,1176.7,4029.8,5307.0,5120.4,4901.8,6919.1,2393.3,2900.0,2164.7,3206.8,5462.2,3519.6,2263.3,1188.6,5626.7,10041.4,3389.2,5119.3,2891.1,2912.0,2326.5,3538.3,2835.0,5112.3,5150.4,1634.1,4659.0,3433.4,3461.9,6920.0,2742.2,2475.3
Bunnpris Bryggja,9405.0,9530.8,10303.3,10331.8,11500.4,10293.0,10677.8,11034.3,10319.9,9444.5,10578.1,10248.4,11627.6,0.0,1985.3,7291.3,10101.2,1502.0,11240.2,4659.2,10299.7,6686.5,10864.5,10565.2,10826.5,9675.3,4889.4,5593.8,10355.2,1986.6,5050.0,7581.0,10095.9,9685.4,10167.3,10528.0,9407.7,7288.1,10023.3,9515.5,9334.8,11055.1,5506.8,10286.7,11617.1,4310.9,4699.3,9597.5,2017.7,2028.1,11070.3,10148.0,1378.2,5809.5,12715.7,2043.7,4697.8,12705.5,11115.8,6395.1,10700.5,12664.5,11017.3,11352.1,6703.9,5514.0,10201.3,10741.0,5048.9,9345.0,10523.7,10122.5,9504.4,10098.9,1150.0,10055.6,9524.2,9685.1,7529.2,4657.2,6685.8,10286.2,6058.0,9840.8,10342.2,9608.4,12704.7,2012.9,9996.4,9527.3,5522.4,5884.2,7331.0,9843.2,9896.3,2030.3,1383.4,10593.1,1389.5,4897.5,6862.9,10417.2,2047.2,10090.6,10345.9,1776.2,6678.8,10276.6,13687.3,10831.9,10288.8,10322.2,11005.0,2017.7,10660.9,7531.6,9067.6,11130.5,7168.8,4109.7,5300.4,9902.0,9478.9,7486.2,11921.1,12991.4,6761.9,10597.4,6746.9,5032.2,9727.3,10325.4,9537.2,11066.4,6734.8,12717.5,11224.9,10674.8,7617.6,4676.7,11248.8,10596.3,10316.5,10337.4,13659.5,12814.0,10260.4,10589.3,10627.4,10557.9,7013.2,11293.0,11321.5,4989.1,10180.1,9771.6
Bunnpris Eid,7555.6,7681.4,8453.9,8482.4,9651.0,8443.6,8828.4,9184.9,8470.5,7595.1,8728.7,8399.0,9778.2,1993.7,0.0,5589.3,8251.8,3495.7,9390.8,2781.8,8450.3,4984.5,9015.1,8687.8,8977.1,7825.9,3040.0,3744.4,8505.8,114.5,3200.6,5703.6,8246.5,7836.0,8317.9,8678.6,7558.3,5586.1,8173.9,7666.1,7457.4,9205.7,3657.4,8437.3,9767.7,2461.5,2821.9,7748.1,54.9,79.0,9220.9,8298.6,3371.9,3932.1,10866.3,80.9,2820.4,10856.1,9266.4,4517.7,8823.1,10815.1,9167.9,9502.7,5001.9,3664.6,8351.9,8891.6,3199.5,7467.6,8674.3,8273.1,7655.0,8249.5,3143.7,8206.2,7674.8,7835.7,5651.8,2779.8,4983.8,8436.8,4740.8,7991.4,8492.8,7759.0,10855.3,163.5,8147.0,7677.9,3673.0,4006.8,6013.8,7993.8,8046.9,82.7,3377.1,8715.7,3383.2,3048.1,4974.5,8567.8,158.8,8241.2,8496.5,3769.9,4976.8,8427.2,11837.9,8982.5,8439.4,8472.8,9155.6,54.9,8811.5,5654.2,7218.2,9281.1,5851.6,2232.3,3451.0,8052.6,7629.5,5608.8,10071.7,11142.0,5059.9,8720.0,4897.5,3182.8,7877.9,8476.0,7687.8,9217.0,5032.8,10868.1,9375.5,8825.4,5740.2,2799.3,9399.4,8718.9,8467.1,8488.0,11810.1,10964.6,8411.0,8711.9,8750.0,8708.5,5163.8,9443.6,9472.1,3139.7,8330.7,7922.2
Bunnpris Hareid,2424.9,2550.7,3323.2,3351.7,4520.3,3312.9,3697.7,4054.2,3339.8,2464.4,3598.0,3268.3,4647.5,7310.1,6269.2,0.0,3121.1,8764.7,4260.1,6068.1,3319.6,803.3,3884.4,7069.7,3846.4,2434.2,2641.4,2761.3,3375.1,6167.4,2775.6,6135.2,3115.8,2705.3,3187.2,3547.9,2427.6,70.7,3043.2,2535.4,3948.9,4075.0,2674.3,3306.6,4637.0,3786.3,6108.2,2617.4,6239.3,6190.3,4090.2,3167.9,8640.9,6123.6,5735.6,6210.3,6106.7,5725.4,4135.7,7804.0,5500.9,5684.4,4037.2,4372.0,824.8,2681.5,3221.2,3760.9,2800.9,3984.1,3543.6,3142.4,2524.3,3118.8,8412.7,3075.5,2544.1,2444.0,6083.4,6066.1,802.6,3306.1,1345.9,2599.7,3362.1,2628.3,5724.6,6162.3,3016.3,2547.2,2689.9,7293.1,2618.9,2863.1,2655.2,6228.9,8646.1,7097.6,8652.2,2649.5,9622.3,3437.1,6174.9,3110.5,3365.8,9038.9,873.3,3296.5,6707.2,3851.8,3308.7,3342.1,4024.9,6276.3,3680.8,6085.8,2087.5,4150.4,2456.7,4739.7,2476.8,2660.9,2498.8,5939.8,4941.0,6011.3,737.8,7101.9,3914.4,2740.2,2747.2,3345.3,2557.1,4086.3,893.0,5737.4,4244.8,3694.7,6121.5,6085.6,4268.7,7100.8,3336.4,3357.3,6679.4,5833.9,3280.3,7093.8,7131.9,3577.8,4177.7,4312.9,4341.4,2741.1,3200.0,2791.5
Bunnpris Nørve,1131.5,657.1,248.4,276.9,1445.5,238.1,622.9,2157.0,265.0,961.6,523.2,193.5,2750.3,10382.7,8888.1,3153.4,0.0,11837.3,2362.9,8687.0,244.8,3875.9,809.6,5172.5,1949.2,1668.1,5323.7,4712.7,1477.9,8786.3,5457.9,4632.4,34.0,1202.5,105.4,473.1,924.8,3143.3,213.2,690.6,2446.1,1000.2,4665.8,231.8,2739.8,6405.2,8727.1,663.3,8858.2,8809.2,1015.4,86.1,11713.5,5937.3,3838.4,8829.2,8725.6,3828.2,1060.9,9935.6,3603.7,3787.2,2140.0,1297.2,3897.4,4634.3,146.4,1863.7,5483.2,2481.3,468.8,41.8,739.0,247.6,11485.3,259.9,1041.3,1677.9,4580.6,8685.0,3875.2,231.3,4418.5,1833.6,287.3,685.6,3827.4,8781.2,431.3,651.5,4641.2,9912.0,5691.5,390.5,1889.1,8847.8,11718.7,5200.4,11724.8,5331.8,12241.2,362.3,8793.8,157.8,1468.6,12111.5,3945.9,221.7,4810.0,777.0,233.9,267.3,2127.7,8895.2,1783.6,4583.0,1053.0,1075.6,5529.3,7358.6,4920.2,1894.8,730.9,4437.0,3043.8,4114.1,3810.4,5204.7,3405.2,5422.5,510.9,270.5,668.1,1011.5,3965.6,3840.2,2347.6,1735.9,4618.7,8704.5,1193.9,5203.6,261.6,282.5,4782.2,3936.7,205.5,5196.6,5234.7,1680.6,3162.4,1238.1,1266.6,5423.4,125.2,487.0
Bunnpris Oldeide,10906.4,11032.2,11804.7,11833.2,13001.8,11794.4,12179.2,12535.7,11821.3,10945.9,12079.5,11749.8,13129.0,1501.4,3486.7,8757.1,11602.6,0.0,12741.6,6160.6,11801.1,8152.3,12365.9,12066.6,12327.9,11176.7,6390.8,7095.2,11856.6,3488.0,6551.4,9082.4,11597.3,11186.8,11668.7,12029.4,10909.1,8753.9,11524.7,11016.9,10836.2,12556.5,7008.2,11788.1,13118.5,5812.3,6200.7,11098.9,3519.1,3529.5,12571.7,11649.4,273.1,7310.9,14217.1,3545.1,6199.2,14206.9,12617.2,7896.5,12201.9,14165.9,12518.7,12853.5,8169.7,7015.4,11702.7,12242.4,6550.3,10846.4,12025.1,11623.9,11005.8,11600.3,404.6,11557.0,11025.6,11186.5,9030.6,6158.6,8151.6,11787.6,7523.8,11342.2,11843.6,11109.8,14206.1,3514.3,11497.8,11028.7,7023.8,7385.6,8796.8,11344.6,11397.7,3531.7,267.9,12094.5,301.9,6398.9,8364.3,11918.6,3548.6,11592.0,11847.3,688.6,8144.6,11778.0,15188.7,12333.3,11790.2,11823.6,12506.4,3519.1,12162.3,9033.0,10569.0,12631.9,8634.6,5611.1,6801.8,11403.4,10980.3,8987.6,13422.5,14492.8,8227.7,12098.8,8248.3,6533.6,11228.7,11826.8,11038.6,12567.8,8200.6,14218.9,12726.3,12176.2,9119.0,6178.1,12750.2,12097.7,11817.9,11838.8,15160.9,14315.4,11761.8,12090.7,12128.8,12059.3,8514.6,12794.4,12822.9,6490.5,11681.5,11273.0
Bunnpris Sjøholt,2258.0,1893.2,2540.3,2568.8,3737.4,2530.0,2914.8,1694.6,2556.9,2088.1,2815.1,2485.4,2287.9,11509.2,10014.6,4279.9,2338.2,12963.8,0.0,9249.1,2536.7,5002.4,3101.5,2870.1,1486.8,2794.6,6450.2,5839.2,1045.9,9912.8,6584.4,4517.7,2332.9,1764.4,2404.3,2687.4,2042.7,4269.8,2260.3,1829.2,2680.7,3292.1,5792.3,2523.7,2277.4,7531.7,9289.2,1834.5,9984.7,9935.7,3307.3,2385.0,12840.0,6170.5,1536.0,9955.7,9287.7,3365.8,3352.8,7633.2,1301.3,2295.7,1677.6,3589.1,5023.9,5760.8,2438.3,748.8,6609.7,2715.9,2760.7,2359.5,1828.0,2335.9,12611.8,2297.0,1888.6,2804.4,4503.8,9247.1,5001.7,2523.2,5545.0,2960.1,2579.2,1735.1,1525.0,9907.7,2290.8,1778.0,5767.7,8145.6,6818.0,2084.6,3015.6,9974.3,12845.2,2898.0,12851.3,6458.3,12803.3,2654.2,9920.3,2327.6,1036.6,13238.0,5072.4,2513.6,4347.6,2394.3,2525.8,2559.2,842.6,10021.7,892.7,4468.3,2179.5,1960.9,6655.8,7920.7,6046.7,3021.3,1829.3,4671.6,2581.4,1811.7,4936.9,2902.3,4531.7,6549.0,2023.2,2562.4,1794.6,3303.4,5092.1,1537.8,74.4,1335.1,4600.7,9266.6,3485.8,2901.2,2553.5,2574.4,4319.8,1634.3,2497.4,2894.2,2932.3,860.7,4288.9,3530.0,3558.5,6549.9,2417.1,2105.2
Bunnpris Stryn,7946.3,8072.1,8844.6,8873.1,10041.7,8834.3,9219.1,9425.3,8861.2,7985.8,9119.4,8789.7,10018.6,4660.5,2780.5,6056.6,8642.5,6162.5,9233.3,0.0,8841.0,5451.8,9405.8,7032.8,9217.5,8216.6,3443.5,4162.1,8746.2,2678.7,3368.8,4837.4,8637.2,7923.7,8708.6,9069.3,7949.0,6053.4,8564.6,8056.8,6591.2,9596.4,4053.1,8828.0,10008.1,2273.6,70.4,8138.8,2750.6,2701.6,9611.6,8689.3,6038.7,3065.9,10506.6,2721.6,57.9,11096.5,9657.1,1751.0,7956.9,11055.5,9408.3,9893.4,5469.2,4082.3,8742.6,8874.5,3367.7,6601.4,9065.0,8663.8,8045.7,8640.2,5810.5,8596.9,8047.9,8226.4,4785.6,28.3,5451.1,8827.5,5208.1,8382.1,8883.5,8149.7,10495.6,2730.3,8537.7,8068.6,4039.1,1240.1,6481.1,8384.5,8437.6,2740.2,6043.9,7060.7,6050.0,3430.8,3618.4,8958.5,2686.2,8631.9,8736.9,6436.7,5444.1,8817.9,12078.3,9373.2,8830.1,8863.5,8998.1,2787.6,9018.4,4788.0,7608.9,9671.8,6318.9,1366.1,3918.3,8443.3,8020.2,4742.6,10312.1,10514.8,5527.2,7065.0,5288.2,3384.5,8268.6,8866.7,8078.5,9607.7,5500.1,10508.4,9218.0,9065.8,4874.0,17.5,9790.1,7063.9,8857.8,8878.7,12050.5,10604.9,8801.7,7056.9,7095.0,8509.3,5554.5,9834.3,9862.8,3345.5,8721.4,8312.9
NEDRE STRANDGATE 9,1302.0,827.6,49.7,78.2,1492.7,45.3,395.7,2293.7,54.1,1132.1,296.0,70.9,2887.0,10553.2,9058.6,3323.9,253.2,12007.8,2533.4,8857.5,0.0,4046.4,856.8,5343.0,2085.9,1838.6,5494.2,4883.2,1648.4,8956.8,5628.4,4802.9,230.7,1373.0,283.2,520.3,1095.3,3313.8,391.7,861.1,2616.6,1047.4,4836.3,77.4,2876.5,6575.7,8897.6,833.8,9028.7,8979.7,1062.6,263.9,11884.0,6107.8,4008.9,8999.7,8896.1,3964.9,1108.1,10106.1,3774.2,3923.9,2276.7,1344.4,4067.9,4804.8,109.1,2034.2,5653.7,2651.8,241.6,274.5,909.5,467.3,11655.8,430.4,1211.8,1848.4,4751.1,8855.5,4045.7,27.7,4589.0,2004.1,60.1,856.1,3997.9,8951.7,601.8,822.0,4811.7,10082.5,5862.0,561.0,2059.6,9018.3,11889.2,5370.9,11895.3,5502.3,12411.7,135.1,8964.3,390.5,1639.1,12282.0,4116.4,88.4,4946.7,824.2,100.6,68.6,2298.2,9065.7,1954.1,4753.5,1223.5,1122.8,5699.8,7529.1,5090.7,2065.3,901.4,4607.5,3180.5,4284.6,3980.9,5375.2,3575.7,5593.0,681.4,59.6,838.6,1058.7,4136.1,4010.7,2518.1,1783.1,4789.2,8875.0,1241.1,5374.1,62.9,83.8,4918.9,4107.2,61.6,5367.1,5405.2,1851.1,3332.9,1285.3,1313.8,5593.9,151.1,657.5
Bunnpris Ulsteinvik,3200.8,3326.6,4099.1,4127.6,5296.2,4088.8,4473.6,4830.1,4115.7,3240.3,4373.9,4044.2,5423.4,6702.8,5661.9,802.9,3897.0,8157.4,5036.0,5460.8,4095.5,0.0,4660.3,7845.6,4622.3,3210.1,2034.1,2154.0,4151.0,5560.1,2168.3,6911.1,3891.7,3481.2,3963.1,4323.8,3203.5,799.7,3819.1,3311.3,4724.8,4850.9,2067.0,4082.5,5412.9,3179.0,5500.9,3393.3,5632.0,5583.0,4866.1,3943.8,8033.6,5516.3,6511.5,5603.0,5499.4,6501.3,4911.6,7196.7,6276.8,6460.3,4813.1,5147.9,83.4,2074.2,3997.1,4536.8,2193.6,4760.0,4319.5,3918.3,3300.2,3894.7,7805.4,3851.4,3320.0,3219.9,6859.3,5458.8,10.4,4082.0,738.6,3375.6,4138.0,3404.2,6500.5,5555.0,3792.2,3323.1,2082.6,6685.8,2011.6,3639.0,3431.1,5621.6,8038.8,7873.5,8044.9,2042.2,9015.0,4213.0,5567.6,3886.4,4141.7,8431.6,85.8,4072.4,7483.1,4627.7,4084.6,4118.0,4800.8,5669.0,4456.7,6861.7,2863.4,4926.3,1849.4,4132.4,1869.5,3436.8,3274.7,6715.7,5716.9,6787.2,231.9,7877.8,3307.1,2132.9,3523.1,4121.2,3333.0,4862.2,139.5,6513.3,5020.7,4470.6,6897.4,5478.3,5044.6,7876.7,4112.3,4133.2,7455.3,6609.8,4056.2,7869.7,7907.8,4353.7,3573.4,5088.8,5117.3,2133.8,3975.9,3567.4
Bunnpris Valderøy,1881.2,1406.8,860.4,888.9,1071.4,850.1,1234.9,2418.9,877.0,1711.3,1135.2,805.5,3012.2,11132.4,9637.8,3903.1,832.4,12587.0,3112.6,9436.7,856.8,4625.6,0.0,5922.2,2211.1,2417.8,6073.4,5462.4,2227.6,9536.0,6207.6,5382.1,809.9,1952.2,862.4,645.5,1674.5,3893.0,970.9,1440.3,3195.8,206.3,5415.5,843.8,3001.7,7154.9,9476.8,1413.0,9607.9,9558.9,641.3,843.1,12463.2,6687.0,4588.1,9578.9,9475.3,4090.1,686.8,10685.3,4353.4,4049.1,2401.9,869.5,4647.1,5384.0,758.4,2400.9,6232.9,3231.0,1080.8,853.7,1488.7,1046.5,12235.0,1009.6,1791.0,2427.6,5330.3,9434.7,4624.9,843.3,5168.2,2583.3,899.3,1435.3,4577.1,9530.9,1181.0,1401.2,5390.9,10661.7,6441.2,1140.2,2638.8,9597.5,12468.4,5950.1,12474.5,6081.5,12990.9,974.3,9543.5,969.7,2218.3,12861.2,4695.6,833.7,5071.9,949.4,845.9,879.3,2877.4,9644.9,2320.8,5332.7,1802.7,1248.0,6279.0,8108.3,5669.9,2644.5,1480.6,5186.7,3305.7,4863.8,4560.1,5954.4,4154.9,6172.2,1260.6,882.5,1417.8,583.8,4715.3,4589.9,3097.3,1908.3,5368.4,9454.2,766.2,5953.3,873.6,894.5,5044.1,4686.4,817.5,5946.3,5984.4,2430.3,3912.1,810.4,838.9,6173.1,724.7,1236.7
Bunnpris Valldal,5071.6,4706.8,5353.9,5382.4,6551.0,5343.6,5728.4,4508.2,5370.5,4901.7,5628.7,5299.0,5101.5,10563.1,8683.1,7093.5,5151.8,12065.1,2880.6,7139.5,5350.3,7816.0,5915.1,0.0,4300.4,5608.2,8252.6,8652.8,3859.5,8581.3,8177.9,3101.8,5146.5,4578.0,5217.9,5501.0,4856.3,7083.4,5073.9,4642.8,5190.3,6105.7,8605.9,5337.3,5091.0,7082.7,7191.1,4648.1,8653.2,8604.2,6120.9,5198.6,11941.3,4754.6,4135.8,8624.2,7153.6,6179.4,6166.4,5411.8,1586.1,4895.5,4491.2,6402.7,7837.5,8574.4,5251.9,3562.4,8176.8,5200.5,5574.3,5173.1,4641.6,5149.5,11713.1,5110.6,4702.2,5618.0,3087.9,7152.5,7815.3,5336.8,8358.6,5773.7,5392.8,4548.7,4124.8,8632.9,5104.4,4591.6,8581.3,5924.2,9631.6,4898.2,5829.2,8642.8,11946.5,66.2,11952.6,8239.9,10735.2,5467.8,8588.8,5141.2,3850.2,12339.3,7886.0,5327.2,7161.2,5207.9,5339.4,5372.8,3656.2,8690.2,3706.3,3052.4,4993.1,4774.5,9469.4,6504.8,8727.4,5834.9,4642.9,3304.8,5395.0,4144.0,7750.5,70.5,7345.3,8193.6,4836.8,5376.0,4608.2,6117.0,7905.7,4137.6,2888.0,4148.7,3184.8,7119.6,6299.4,69.4,5367.1,5388.0,7133.4,4234.1,5311.0,62.4,100.5,3674.3,7102.5,6343.6,6372.1,8154.6,5230.7,4918.8
Bunnpris Vatne,1843.5,1478.7,2093.3,2121.8,2856.2,2083.0,2467.8,279.3,2109.9,1673.6,2368.1,2038.4,885.3,11094.7,9600.1,3865.4,1923.7,12549.3,1494.0,9239.3,2089.7,4587.9,2220.3,4303.6,0.0,2380.1,6035.7,5424.7,619.0,9498.3,6169.9,4855.8,1918.4,1753.2,1989.8,1756.3,1636.8,3855.3,1845.8,1414.7,2669.5,2410.9,5377.8,2076.7,874.8,7117.2,9279.4,1420.0,9570.2,9521.2,2426.1,1970.5,12425.5,6160.7,2707.0,9541.2,9277.9,1963.2,2471.6,9066.7,2734.8,1909.5,262.3,2707.9,4609.4,5346.3,1991.3,757.1,6195.2,2704.7,2313.7,1945.0,1413.5,1921.4,12197.3,1882.5,1753.3,2389.9,4804.0,9237.3,4587.2,2076.2,5130.5,2545.6,2132.2,1320.6,2696.0,9493.2,1876.3,1363.5,5353.2,9579.1,6403.5,1670.1,2601.1,9559.8,12430.7,4331.5,12436.8,6043.8,12793.5,2207.2,9505.8,1913.1,609.7,12823.5,4657.9,2066.6,2945.0,1463.2,2078.8,2112.2,1258.8,9607.2,677.0,4806.4,1765.0,1029.8,6241.3,7910.9,5632.2,2606.8,1414.8,4660.4,1178.8,3245.2,4522.4,4335.8,4117.2,6134.5,1608.7,2115.4,1380.1,2422.2,4677.6,2708.8,1478.7,404.0,4842.1,9256.8,2604.6,4334.7,2106.5,2127.4,2917.2,2727.5,2050.4,4327.7,4365.8,849.5,3874.4,2648.8,2677.3,6135.4,1957.6,1690.7
