,Depot,"Rådhusplassen 1, 6002 Ålesund",Joker Geiranger,"Geiranger, 6216 Geiranger","Langsten, 6264 Tennfjord",Anno,"Ålesund, 6002 Ålesund",Atlanterhavsparken,"Borgundvegen 340, 6015 Ålesund","Borgundvegen 92, 6008 Ålesund",Bunnpris Brattvåg,BROGATA 1,Bunnpris Bryggja,Bunnpris Eid,Bunnpris Hareid,"Ikornes, 6222 Ikornnes",Bunnpris Langevåg,Bunnpris Nørve,Bunnpris Oldeide,Bunnpris Olden,Bunnpris Sjøholt,SKAREGATA 1,Bunnpris Spjelkavik,Bunnpris Stad,Bunnpris Straumgjerde,Bunnpris Stryn,NEDRE STRANDGATE 9,Bunnpris Ulsteinvik,Bunnpris Valderøy,Bunnpris Valldal,Bunnpris Vatne,Bunnpris Vedde,Bunnpris Volda,Bunnpris Ørsta,"Digernessundet, 6057 Ellingsøy",Gamle Blindheimsveg 25,Eurospar Hareid,LARSGÅRDSVEGEN 19,Eurospar Moa,Eurospar Sykkylven,Eurospar Valderøy,Eurospar Ørsta,Rasmus Rønnebergs gate 21,"Brattvåg, 6270 Brattvåg","Valderhaug, 6050 Valderøya","Hovdebygda, 6160 Hovdebygda","Haramsøya, 6270 Brattvåg","Spjelkavik, 6010 Ålesund",Joker Bellingen,Joker Fiksdal,Joker Flatraket,Godøya post i butikk,Joker Gursken,"Hellesylt, 6218 Hellesylt",Joker Larsnes,Joker Loen,Joker Stordal,Joker Sæbø,Joker Tomrefjord,Joker,Joker Vatne,Vigra post i butikk,Joker Åheim,Joker Åram,Kiwi Meieribygget Ørsta,"Volda, 6100 Volda",SUNDGATA 8,Kiwi Skodje,Kiwi Volda,Kiwi Sykkylven,SKARBØVIKGATA 25,NØRVEGATA 23,SPJELKAVIKVEGEN 42,Kiwi Deknepollen,"Eggesbønes, 6008 Ålesund",NEDRE KLOKKERSUNDVEGEN 2,FLISNESVEGEN 1,"Kverve, 6008 Ålesund","Fiskarstrand, 6037 Eidsnes",Kiwi Stranda,Kiwi Stryn,Kiwi Ulsteinvik,"Valderøy, 6050 Valderøya",RASMUS RØNNEBERGS GATE 6,Kiwi Myrvåg,Kiwi Langevåg,NEDRE STRANDGATE 51,LERSTADVEGEN 545,Kiwi Vestnes,Kiwi Nordfjordeid,SMEDGARDEN 1,"Vallekrysset, 6013 Ålesund","Ørsta, 6150 Ørsta",Meny Fosnavåg,LERSTADVEGEN 291,"Ulsteinvik, 6065 Ulsteinvik","Ålesund, 6008 Ålesund",Rabbevågen barnehage,"Storgata 16, 6002 Ålesund",Solsikka barnehage,SOLAVÅGSEIDET 76,Spar Ellingsøy,Spar Fiskåbygd,Spar Fosnavåg,Spar Hornindal,Spar Hovdebygda,Spar Langevåg,Spar Raudeberg,Spjelkavikvegen 61,Spar Straumane,Spar Svingen,Spar Søvik,Spar Tresfjord,Spar Ulsteinvik,Spar Valldal,Spar Vartdal,Spar Volda,Øvre Geilegrend 1,Esso Spjelkavik,"Ålesund lufthavn, 6040 Vigra",St1 Vegsund,St1 Vestnes,St1 Ørsta,"Vigra, 6040 Vigra",Sunde barnehage,Tennfjord barnehage,"Torvmyrane, 6010 Ålesund","Valldal, 6210 Valldal","Fosnavåg, 6090 Fosnavåg","Parkvegen 35, 6003 Ålesund"
Bunnpris Brattvåg,2628.1,2882.6,7119.0,7137.5,1530.3,2867.6,2894.5,3252.4,2696.7,2734.9,0.0,2999.4,11879.3,10384.7,4650.0,3521.1,3414.2,2708.3,13333.9,11152.8,2278.6,2870.8,2236.8,12625.5,3959.2,10023.9,2874.3,5372.5,3004.9,5088.2,882.3,3164.7,6820.3,6209.3,1403.6,2421.4,4639.9,2630.4,2199.3,3454.1,3195.5,6162.4,2861.3,19.4,3210.7,6402.2,1372.5,2263.3,7795.9,2116.8,13107.4,3256.2,6618.7,6945.3,6954.0,10692.7,3519.4,7781.9,2720.3,12655.4,1073.1,3492.5,11001.2,10096.2,6130.9,6954.5,2775.9,1541.7,6979.8,3489.3,3098.3,2729.6,2198.1,12981.9,2706.0,2667.1,2537.9,2774.4,3174.5,5588.6,10021.9,5371.8,3152.7,2860.8,5915.1,3330.2,2916.8,2105.2,3506.8,10277.8,2660.9,2148.1,6137.8,7188.1,2454.7,5394.0,2703.0,2471.3,2863.4,10014.8,2549.6,1814.4,10002.1,7025.9,8695.5,6416.8,3391.4,13616.2,2199.4,5513.3,5445.0,1176.7,4029.8,5307.0,5120.4,4901.8,6919.1,2393.3,2150.4,3206.8,2358.2,3519.6,6179.7,3389.2,2702.8,869.8,2247.8,5116.1,7039.2,2788.7
BROGATA 1,1430.1,216.5,7501.9,7520.4,2862.0,139.7,143.7,271.4,577.3,407.9,3015.1,0.0,10681.3,9186.7,3452.0,2811.7,2216.2,381.3,12135.9,10114.5,2661.5,204.7,1076.3,11427.5,3249.8,8985.6,141.4,4174.5,984.9,5471.1,2214.0,1966.7,5622.3,5011.3,1776.5,1223.4,3441.9,519.8,989.2,2744.7,1175.5,4964.4,205.5,3004.6,1190.7,5204.2,4093.0,955.7,6597.9,3448.5,11909.4,1236.2,5420.7,6235.9,5756.0,9654.4,3902.3,6583.9,4052.0,11617.1,2404.8,1472.5,9803.2,8898.2,4932.9,5756.5,237.2,2162.3,5781.8,2779.9,117.3,402.6,1037.6,11783.9,595.4,558.5,1339.9,411.3,1976.5,4879.2,8983.6,4173.8,171.7,155.8,4717.1,2132.2,83.7,984.2,4126.0,9079.8,729.9,950.1,4939.8,5990.1,689.1,4196.0,358.8,1273.3,228.7,8816.8,1351.6,1250.9,8804.1,5827.9,7657.2,5218.8,2193.4,12418.2,1029.5,4315.3,4735.6,3308.6,4412.7,4109.0,5503.3,3703.8,5721.1,809.5,1004.1,1186.8,1160.2,4138.8,4981.7,1369.2,1504.8,2231.8,952.3,5499.0,5841.2,444.5
Bunnpris Bryggja,9405.0,10308.0,9179.0,9197.5,11474.5,10293.0,10319.9,10677.8,10089.6,10127.8,11627.6,10424.8,0.0,1985.3,7291.3,9326.8,9924.8,10101.2,1502.0,5788.1,11240.2,10296.2,9527.1,2470.9,8811.7,4659.2,10299.7,6686.5,10864.5,10565.2,10826.5,9675.3,4889.4,5593.8,10355.2,9407.7,7288.1,10023.3,9515.5,9334.8,11055.1,5506.8,10286.7,11617.1,11070.3,5285.8,12705.5,9530.8,6202.9,12061.0,1275.5,11115.8,5298.7,5809.5,4943.5,5328.0,10700.5,6188.9,12664.5,6383.2,11017.3,11352.1,899.9,3089.8,5514.0,5050.0,10201.3,10741.0,5048.9,9345.0,10523.7,10122.5,9504.4,1150.0,10098.9,10055.6,9524.2,10167.3,9685.1,7529.2,4657.2,6685.8,10578.1,10286.2,6058.0,9840.8,10342.2,9608.4,12704.7,2012.9,9996.4,9527.3,5522.4,7331.0,9843.2,6703.9,10095.9,9364.1,10288.8,2126.0,9067.6,11130.5,2113.3,7168.8,4109.7,5300.4,9902.0,1784.3,9478.9,6553.6,7486.2,11921.1,12991.4,6761.9,10597.4,6746.9,5032.2,9727.3,9545.8,11066.4,9344.5,12717.5,5497.5,11248.8,9040.3,10844.3,10831.9,10593.1,7182.1,10181.6
Bunnpris Eid,7555.6,8458.6,7301.6,7320.1,9625.1,8443.6,8470.5,8828.4,8240.2,8278.4,9778.2,8575.4,1993.7,0.0,5589.3,7449.4,8075.4,8251.8,3495.7,3910.7,9390.8,8446.8,7677.7,4464.6,6934.3,2781.8,8450.3,4984.5,9015.1,8687.8,8977.1,7825.9,3040.0,3744.4,8505.8,7558.3,5586.1,8173.9,7666.1,7457.4,9205.7,3657.4,8437.3,9767.7,9220.9,3436.4,10856.1,7681.4,4353.5,10211.6,3269.2,9266.4,5444.4,3932.1,5779.7,3450.6,8823.1,4339.5,10815.1,4494.8,9167.9,9502.7,2893.6,5083.5,3664.6,3200.6,8351.9,8891.6,3199.5,7467.6,8674.3,8273.1,7655.0,3143.7,8249.5,8206.2,7674.8,8317.9,7835.7,5651.8,2779.8,4983.8,8728.7,8436.8,4740.8,7991.4,8492.8,7759.0,10855.3,163.5,8147.0,7677.9,3673.0,6013.8,7993.8,5001.9,8246.5,7514.7,8439.4,4119.7,7218.2,9281.1,4107.0,5851.6,2232.3,3451.0,8052.6,3778.0,7629.5,4851.6,5608.8,10071.7,11142.0,5059.9,8720.0,4897.5,3182.8,7877.9,7696.4,9217.0,7495.1,10868.1,3648.1,9399.4,7190.9,8994.9,8982.5,8715.7,5864.9,8332.2
Bunnpris Hareid,2424.9,3327.9,9100.5,9119.0,4494.4,3312.9,3339.8,3697.7,3109.5,3147.7,4647.5,3444.7,7310.1,6269.2,0.0,4015.9,2683.7,3121.1,8764.7,7197.0,4260.1,3316.1,2547.0,8056.3,4454.0,6068.1,3319.6,803.3,3884.4,7069.7,3846.4,2434.2,2641.4,2761.3,3375.1,2427.6,70.7,3043.2,2535.4,3948.9,4075.0,2674.3,3306.6,4637.0,4090.2,2462.2,5725.4,2550.7,4214.2,5080.9,8538.2,4135.7,2049.5,6123.6,2384.8,6736.9,5500.9,4200.2,5684.4,8699.6,4037.2,4372.0,6432.0,5527.0,2681.5,2775.6,3221.2,3760.9,2800.9,3984.1,3543.6,3142.4,2524.3,8412.7,3118.8,3075.5,2544.1,3187.2,2444.0,6083.4,6066.1,802.6,3598.0,3306.1,1345.9,2599.7,3362.1,2628.3,5724.6,6162.3,3016.3,2547.2,2689.9,2618.9,2863.1,824.8,3115.8,2384.0,3308.7,5445.6,2087.5,4150.4,5432.9,2456.7,4739.7,2476.8,2660.9,9047.0,2498.8,944.1,5939.8,4941.0,6011.3,737.8,7101.9,3914.4,2740.2,2747.2,2565.7,4086.3,2364.4,5737.4,2665.0,4268.7,2221.5,3864.2,3851.8,7097.6,2470.0,3201.5
"Ikornes, 6222 Ikornnes",2027.8,2700.3,7226.3,7244.8,3369.8,2685.3,2712.2,3070.1,2481.9,2520.1,3522.9,2817.1,9324.7,7444.7,4049.7,0.0,2813.9,2493.5,10826.7,7723.7,2737.6,2688.5,1919.4,11669.8,530.1,6594.8,2692.0,4772.2,3256.8,5195.5,2721.8,2564.4,4921.8,4310.8,2250.5,1706.3,4039.6,2415.6,1907.8,64.9,3447.4,4263.9,2679.0,3512.4,3462.6,4503.7,4600.8,1923.1,5897.4,3956.3,10600.2,3508.1,6018.4,3516.2,6353.7,7263.6,3978.4,5883.4,4559.8,9226.3,2912.6,3744.4,10045.5,9495.9,4232.4,5056.0,2593.6,2378.8,5081.3,67.9,2916.0,2514.8,1896.7,10474.7,2491.2,2447.9,1552.2,2559.6,2574.2,2159.5,6592.8,4771.5,2970.4,2678.5,5314.8,2729.9,2734.5,2000.7,4202.1,7394.5,2388.7,1919.6,4239.3,6587.8,2235.5,4793.7,2488.2,1871.0,2681.1,9059.1,1949.3,3195.9,9046.4,6425.6,5266.4,4518.3,2791.1,11109.0,1871.2,4913.0,2015.9,3816.4,4488.8,4706.7,5227.7,3003.3,5020.6,2119.6,1938.1,3458.7,1707.1,4214.9,4281.2,3641.1,2102.5,2739.6,3224.2,5223.4,6438.9,2573.9
Bunnpris Langevåg,1204.4,2107.4,7880.0,7898.5,3273.9,2092.4,2119.3,2477.2,1889.0,1927.2,3427.0,2224.2,9917.6,8682.9,2688.3,2795.4,0.0,1900.6,11372.2,9610.7,3039.6,2095.6,1326.5,10663.8,3233.5,8481.8,2099.1,3410.8,2663.9,5849.2,2625.9,271.7,5118.5,4507.5,2154.6,1207.1,2678.2,1822.7,1314.9,2728.4,2854.5,4460.6,2086.1,3416.5,2869.7,4700.4,4504.9,1330.2,6094.1,3860.4,11145.7,2915.2,4657.0,6219.6,4992.3,9150.6,4280.4,6080.1,4463.9,11113.3,2816.7,3151.5,9039.5,8134.5,4429.1,5252.7,2000.7,2540.4,5278.0,2763.6,2323.1,1921.9,1303.8,11020.2,1898.3,1855.0,1323.6,1966.7,281.5,4862.9,8479.8,3410.1,2377.5,2085.6,3953.4,102.9,2141.6,1407.8,4504.1,8576.0,1795.8,1326.7,4436.0,5226.4,1642.6,3432.3,1895.3,1163.5,2088.2,8053.1,867.0,2929.9,8040.4,5064.2,7153.4,4715.0,84.1,11654.5,1278.3,3551.6,4719.3,3720.5,4790.8,3345.3,5881.4,3200.0,5217.3,1526.7,1345.2,2865.8,1143.9,4516.9,4477.9,3048.2,1001.0,2643.7,2631.3,5877.1,5077.5,1981.0
Bunnpris Nørve,1131.5,253.1,7203.3,7221.8,2597.2,238.1,265.0,622.9,216.5,47.1,2750.3,369.9,10382.7,8888.1,3153.4,2513.1,1917.6,0.0,11837.3,9815.9,2362.9,241.3,777.7,11128.9,2951.2,8687.0,244.8,3875.9,809.6,5172.5,1949.2,1668.1,5323.7,4712.7,1477.9,924.8,3143.3,213.2,690.6,2446.1,1000.2,4665.8,231.8,2739.8,1015.4,4905.6,3828.2,657.1,6299.3,3183.7,11610.8,1060.9,5122.1,5937.3,5457.4,9355.8,3603.7,6285.3,3787.2,11318.5,2140.0,1297.2,9504.6,8599.6,4634.3,5457.9,146.4,1863.7,5483.2,2481.3,468.8,41.8,739.0,11485.3,247.6,259.9,1041.3,105.4,1677.9,4580.6,8685.0,3875.2,523.2,231.3,4418.5,1833.6,287.3,685.6,3827.4,8781.2,431.3,651.5,4641.2,5691.5,390.5,3897.4,34.0,974.7,233.9,8518.2,1053.0,1075.6,8505.5,5529.3,7358.6,4920.2,1894.8,12119.6,730.9,4016.7,4437.0,3043.8,4114.1,3810.4,5204.7,3405.2,5422.5,510.9,705.5,1011.5,861.6,3840.2,4683.1,1193.9,1206.2,1967.0,777.0,5200.4,5542.6,119.7
Bunnpris Oldeide,10906.4,11809.4,10680.4,10698.9,12975.9,11794.4,11821.3,12179.2,11591.0,11629.2,13129.0,11926.2,1501.4,3486.7,8757.1,10828.2,11426.2,11602.6,0.0,7289.5,12741.6,11797.6,11028.5,3936.7,10313.1,6160.6,11801.1,8152.3,12365.9,12066.6,12327.9,11176.7,6390.8,7095.2,11856.6,10909.1,8753.9,11524.7,11016.9,10836.2,12556.5,7008.2,11788.1,13118.5,12571.7,6787.2,14206.9,11032.2,7704.3,13562.4,1166.2,12617.2,6764.5,7310.9,6409.3,6829.4,12201.9,7690.3,14165.9,7884.6,12518.7,12853.5,2365.7,4555.6,7015.4,6551.4,11702.7,12242.4,6550.3,10846.4,12025.1,11623.9,11005.8,404.6,11600.3,11557.0,11025.6,11668.7,11186.5,9030.6,6158.6,8151.6,12079.5,11787.6,7523.8,11342.2,11843.6,11109.8,14206.1,3514.3,11497.8,11028.7,7023.8,8796.8,11344.6,8169.7,11597.3,10865.5,11790.2,3591.8,10569.0,12631.9,3579.1,8634.6,5611.1,6801.8,11403.4,696.7,10980.3,8019.4,8987.6,13422.5,14492.8,8227.7,12098.8,8248.3,6533.6,11228.7,11047.2,12567.8,10845.9,14218.9,6998.9,12750.2,10541.7,12345.7,12333.3,12094.5,8647.9,11683.0
Bunnpris Olden,9078.5,9981.5,5705.2,5723.7,10997.7,9966.5,9993.4,10351.3,9763.1,9801.3,11150.8,10098.3,5792.7,3912.7,7188.8,7715.4,9598.3,9774.7,7294.7,0.0,10365.5,9969.7,9200.6,8263.6,7200.3,1192.7,9973.2,6584.0,10538.0,8203.1,10349.7,9348.8,4575.7,5294.3,9878.4,9081.2,7185.6,9696.8,9189.0,7723.4,10728.6,5185.3,9960.2,11140.3,10743.8,5035.9,12228.7,9204.3,5297.8,11584.2,7068.2,10789.3,7043.9,4198.1,7379.2,490.9,9089.1,5283.8,12187.7,1554.1,10540.5,11025.6,6692.6,8882.5,5214.5,4501.0,9874.8,10006.7,4499.9,7733.6,10197.2,9796.0,9177.9,6942.7,9772.4,9729.1,9180.1,9840.8,9358.6,5917.8,1183.4,6583.3,10251.6,9959.7,6340.3,9514.3,10015.7,9281.9,11627.8,3862.5,9669.9,9200.8,5171.3,7613.3,9516.7,6601.4,9769.4,9037.6,9962.3,7918.7,8741.1,10804.0,7906.0,7451.1,2498.3,5050.5,9575.5,7577.0,9152.4,6451.1,5874.8,11444.3,11647.0,6659.4,8235.3,6420.4,4516.7,9400.8,9219.3,10739.9,9018.0,11640.6,5183.8,10922.3,8713.8,10367.5,10505.4,8231.0,7464.4,9855.1
Bunnpris Sjøholt,2258.0,2545.0,4900.9,4919.4,2134.8,2530.0,2556.9,2914.8,2326.6,2364.8,2287.9,2661.8,11509.2,10014.6,4279.9,2747.7,3044.1,2338.2,12963.8,10378.0,0.0,2533.2,1866.7,12255.4,3185.8,9249.1,2536.7,5002.4,3101.5,2870.1,1486.8,2794.6,6450.2,5839.2,1045.9,2042.7,4269.8,2260.3,1829.2,2680.7,3292.1,5792.3,2523.7,2277.4,3307.3,6032.1,3365.8,1893.2,7425.8,2721.3,12737.3,3352.8,6248.6,6170.5,6583.9,9917.9,1301.3,7411.8,2295.7,11880.6,1677.6,3589.1,10631.1,9726.1,5760.8,6584.4,2438.3,748.8,6609.7,2715.9,2760.7,2359.5,1828.0,12611.8,2335.9,2297.0,1888.6,2404.3,2804.4,4503.8,9247.1,5001.7,2815.1,2523.2,5545.0,2960.1,2579.2,1735.1,1525.0,9907.7,2290.8,1778.0,5767.7,6818.0,2084.6,5023.9,2332.9,2101.2,2525.8,9644.7,2179.5,1960.9,9632.0,6655.8,7920.7,6046.7,3021.3,13246.1,1829.3,5143.2,4671.6,2581.4,1811.7,4936.9,2902.3,4531.7,6549.0,2023.2,1780.3,3303.4,1988.1,1537.8,5809.6,3485.8,2332.7,1504.6,2394.3,2898.0,6669.1,2418.6
SKAREGATA 1,1304.5,39.5,7376.3,7394.8,2736.4,68.8,95.7,453.6,451.7,282.3,2889.5,200.6,10555.7,9061.1,3326.4,2686.1,2090.6,255.7,12010.3,9988.9,2535.9,0.0,950.7,11301.9,3124.2,8860.0,75.5,4048.9,859.3,5345.5,2088.4,1841.1,5496.7,4885.7,1650.9,1097.8,3316.3,394.2,863.6,2619.1,1049.9,4838.8,58.7,2879.0,1065.1,5078.6,3967.4,830.1,6472.3,3322.9,11783.8,1110.6,5295.1,6110.3,5630.4,9528.8,3776.7,6458.3,3926.4,11491.5,2279.2,1346.9,9677.6,8772.6,4807.3,5630.9,89.0,2036.7,5656.2,2654.3,299.5,277.0,912.0,11658.3,469.8,432.9,1214.3,285.7,1850.9,4753.6,8858.0,4048.2,353.9,46.5,4591.5,2006.6,118.0,858.6,4000.4,8954.2,604.3,824.5,4814.2,5864.5,563.5,4070.4,233.2,1147.7,31.5,8691.2,1226.0,1125.3,8678.5,5702.3,7531.6,5093.2,2067.8,12292.6,903.9,4189.7,4610.0,3183.0,4287.1,3983.4,5377.7,3578.2,5595.5,683.9,878.5,1061.2,1034.6,4013.2,4856.1,1243.6,1379.2,2106.2,826.7,5373.4,5715.6,318.9
Bunnpris Spjelkavik,537.8,960.4,6689.9,6708.4,2083.8,945.4,972.3,1330.2,742.0,780.2,2236.9,1077.2,9789.0,8294.4,2559.7,1919.4,1323.9,753.6,11243.6,9222.2,1849.5,948.6,0.0,10535.2,2357.5,8093.3,952.1,3282.2,1516.9,4659.1,1435.8,1074.4,4730.0,4119.0,964.5,331.1,2549.6,675.7,167.9,1852.4,1707.5,4072.1,939.1,2226.4,1722.7,4311.9,3314.8,183.2,5705.6,2670.3,11017.1,1768.2,4528.4,5343.6,4863.7,8762.1,3090.3,5691.6,3273.8,10724.8,1626.6,2004.5,8910.9,8005.9,4040.6,4864.2,853.7,1350.3,4889.5,1887.6,1176.1,774.9,66.7,10891.6,751.3,708.0,447.6,819.7,1084.2,3986.9,8091.3,3281.5,1230.5,938.6,3824.8,1239.9,994.6,200.4,3314.0,8187.5,648.8,156.6,4047.5,5097.8,495.6,3303.7,748.3,381.0,941.2,7924.5,459.3,1782.9,7911.8,4935.6,6764.9,4326.5,1301.1,11525.9,47.5,3423.0,3843.3,2530.4,3600.7,3216.7,4691.3,2811.5,4828.8,379.7,111.9,1718.8,267.9,3326.8,4089.4,1901.2,612.5,1453.6,1484.3,4687.0,4948.9,834.0
Bunnpris Stad,10458.7,11361.7,11658.1,11676.6,12528.2,11346.7,11373.6,11731.5,11143.3,11181.5,12681.3,11478.5,2479.1,4464.4,8060.8,11704.4,10717.5,11154.9,3933.7,8267.2,12293.9,11349.9,10580.8,0.0,11290.8,7138.3,11353.4,7456.0,11918.2,13044.3,11880.2,10468.0,6862.8,7567.2,11408.9,10461.4,8057.6,11077.0,10569.2,11712.4,12108.8,7480.2,11340.4,12670.8,12124.0,7259.2,13759.2,10584.5,8544.4,13114.7,2983.0,12169.5,6068.2,8288.6,5713.0,7807.1,13179.6,8530.4,13718.2,8862.3,12071.0,12405.8,1669.4,3859.3,7487.4,7023.4,11255.0,11794.7,7022.3,11722.6,11577.4,11176.2,10558.1,3581.7,11152.6,11109.3,10577.9,11221.0,10477.8,10008.3,7136.3,7455.3,11631.8,11339.9,6827.5,10633.5,11395.9,10662.1,13758.4,4492.0,11050.1,10581.0,7495.8,8100.5,10896.9,7473.4,11149.6,10417.8,11342.5,2895.5,10121.3,12184.2,2882.8,7938.3,6588.8,7273.8,10694.7,4216.0,10532.6,7323.1,9965.3,12974.8,14045.1,7531.4,13076.5,8720.3,7005.6,10781.0,10599.5,12120.1,10398.2,13771.2,7470.9,12302.5,10255.3,11898.0,11885.6,13072.2,7951.6,11235.3
Bunnpris Straumgjerde,2455.4,3127.9,6720.7,6739.2,3797.4,3112.9,3139.8,3497.7,2909.5,2947.7,3950.5,3244.7,8819.1,6939.1,4477.3,515.1,3241.5,2921.1,10321.1,7218.1,3165.2,3116.1,2347.0,11290.0,0.0,6089.2,3119.6,5199.8,3684.4,4689.9,3149.4,2992.0,5272.8,4661.8,2678.1,2133.9,4467.2,2843.2,2335.4,523.1,3875.0,4614.9,3106.6,3940.0,3890.2,4854.7,5028.4,2350.7,5766.2,4383.9,10094.6,3935.7,6446.0,3010.6,6781.3,6758.0,4406.0,5762.5,4987.4,8720.7,3340.2,4172.0,9719.0,9923.5,4583.4,5407.0,3021.2,2806.4,5432.3,533.3,3343.6,2942.4,2324.3,9969.1,2918.8,2875.5,1979.8,2987.2,3001.8,1653.9,6087.2,5199.1,3398.0,3106.1,5742.4,3157.5,3162.1,2428.3,4629.7,6888.9,2816.3,2347.2,4590.3,7015.4,2663.1,5221.3,2915.8,2298.6,3108.7,9410.1,2376.9,3623.5,9397.4,6853.2,4760.8,4869.3,3218.7,10603.4,2298.8,5340.6,1510.3,4244.0,4916.4,5134.3,4722.1,3354.3,5371.6,2547.2,2365.7,3886.3,2134.7,4642.5,4632.2,4068.7,2530.1,3167.2,3651.8,4717.8,6866.5,3001.5
Bunnpris Stryn,7946.3,8849.3,4534.9,4553.4,9865.5,8834.3,8861.2,9219.1,8630.9,8669.1,10018.6,8966.1,4660.5,2780.5,6056.6,6583.2,8466.1,8642.5,6162.5,1193.1,9233.3,8837.5,8068.4,7131.4,6068.1,0.0,8841.0,5451.8,9405.8,7032.8,9217.5,8216.6,3443.5,4162.1,8746.2,7949.0,6053.4,8564.6,8056.8,6591.2,9596.4,4053.1,8828.0,10008.1,9611.6,3903.7,11096.5,8072.1,4165.6,10452.0,5936.0,9657.1,5911.7,3065.9,6247.0,733.0,7956.9,4151.6,11055.5,2695.7,9408.3,9893.4,5560.4,7750.3,4082.3,3368.8,8742.6,8874.5,3367.7,6601.4,9065.0,8663.8,8045.7,5810.5,8640.2,8596.9,8047.9,8708.6,8226.4,4785.6,28.3,5451.1,9119.4,8827.5,5208.1,8382.1,8883.5,8149.7,10495.6,2730.3,8537.7,8068.6,4039.1,6481.1,8384.5,5469.2,8637.2,7905.4,8830.1,6786.5,7608.9,9671.8,6773.8,6318.9,1366.1,3918.3,8443.3,6444.8,8020.2,5318.9,4742.6,10312.1,10514.8,5527.2,7065.0,5288.2,3384.5,8268.6,8087.1,9607.7,7885.8,10508.4,4051.6,9790.1,7581.6,9235.3,9373.2,7060.7,6332.2,8722.9
NEDRE STRANDGATE 9,1302.0,88.4,7373.8,7392.3,2733.9,45.3,54.1,395.7,449.2,279.8,2887.0,142.7,10553.2,9058.6,3323.9,2683.6,2088.1,253.2,12007.8,9986.4,2533.4,76.6,948.2,11299.4,3121.7,8857.5,0.0,4046.4,856.8,5343.0,2085.9,1838.6,5494.2,4883.2,1648.4,1095.3,3313.8,391.7,861.1,2616.6,1047.4,4836.3,77.4,2876.5,1062.6,5076.1,3964.9,827.6,6469.8,3320.4,11781.3,1108.1,5292.6,6107.8,5627.9,9526.3,3774.2,6455.8,3923.9,11489.0,2276.7,1344.4,9675.1,8770.1,4804.8,5628.4,109.1,2034.2,5653.7,2651.8,241.6,274.5,909.5,11655.8,467.3,430.4,1211.8,283.2,1848.4,4751.1,8855.5,4045.7,296.0,27.7,4589.0,2004.1,60.1,856.1,3997.9,8951.7,601.8,822.0,4811.7,5862.0,561.0,4067.9,230.7,1145.2,100.6,8688.7,1223.5,1122.8,8676.0,5699.8,7529.1,5090.7,2065.3,12290.1,901.4,4187.2,4607.5,3180.5,4284.6,3980.9,5375.2,3575.7,5593.0,681.4,876.0,1058.7,1032.1,4010.7,4853.6,1241.1,1376.7,2103.7,824.2,5370.9,5713.1,316.4
Bunnpris Ulsteinvik,3200.8,4103.8,9876.4,9894.9,5270.3,4088.8,4115.7,4473.6,3885.4,3923.6,5423.4,4220.6,6702.8,5661.9,802.9,4791.8,3459.6,3897.0,8157.4,6589.7,5036.0,4092.0,3322.9,7449.0,5229.9,5460.8,4095.5,0.0,4660.3,7845.6,4622.3,3210.1,2034.1,2154.0,4151.0,3203.5,799.7,3819.1,3311.3,4724.8,4850.9,2067.0,4082.5,5412.9,4866.1,1854.9,6501.3,3326.6,3606.9,5856.8,7930.9,4911.6,1442.2,5516.3,1777.5,6129.6,6276.8,3592.9,6460.3,8092.3,4813.1,5147.9,5824.7,4919.7,2074.2,2168.3,3997.1,4536.8,2193.6,4760.0,4319.5,3918.3,3300.2,7805.4,3894.7,3851.4,3320.0,3963.1,3219.9,6859.3,5458.8,10.4,4373.9,4082.0,738.6,3375.6,4138.0,3404.2,6500.5,5555.0,3792.2,3323.1,2082.6,2011.6,3639.0,83.4,3891.7,3159.9,4084.6,4838.3,2863.4,4926.3,4825.6,1849.4,4132.4,1869.5,3436.8,8439.7,3274.7,336.8,6715.7,5716.9,6787.2,231.9,7877.8,3307.1,2132.9,3523.1,3341.6,4862.2,3140.3,6513.3,2057.7,5044.6,2997.4,4640.1,4627.7,7873.5,1862.7,3977.4
Bunnpris Valderøy,1881.2,865.1,7953.0,7971.5,2859.1,850.1,877.0,1234.9,1028.4,859.0,3012.2,981.9,11132.4,9637.8,3903.1,3262.8,2667.3,832.4,12587.0,10565.6,3112.6,853.3,1527.4,11878.6,3700.9,9436.7,856.8,4625.6,0.0,5922.2,2211.1,2417.8,6073.4,5462.4,2227.6,1674.5,3893.0,970.9,1440.3,3195.8,206.3,5415.5,843.8,3001.7,641.3,5655.3,4090.1,1406.8,7049.0,3445.6,12360.5,686.8,5871.8,6687.0,6207.1,10105.5,4353.4,7035.0,4049.1,12068.2,2401.9,869.5,10254.3,9349.3,5384.0,6207.6,758.4,2400.9,6232.9,3231.0,1080.8,853.7,1488.7,12235.0,1046.5,1009.6,1791.0,862.4,2427.6,5330.3,9434.7,4624.9,1135.2,843.3,5168.2,2583.3,899.3,1435.3,4577.1,9530.9,1181.0,1401.2,5390.9,6441.2,1140.2,4647.1,809.9,1724.4,845.9,9267.9,1802.7,1248.0,9255.2,6279.0,8108.3,5669.9,2644.5,12869.3,1480.6,4766.4,5186.7,3305.7,4863.8,4560.1,5954.4,4154.9,6172.2,1260.6,1455.2,583.8,1611.3,4589.9,5432.8,766.2,1955.9,2228.9,949.4,5950.1,6292.3,895.6
